id,name,email,preco,projetos,avaliacoes
122,Arlena,Arlena.80@yopmail.com,565.72,80,5.79
123,Marcy,Marcy.174@yopmail.com,353.31,174,3.88
124,Kellen,Kellen.127@yopmail.com,71.98,127,5.14
125,Jasmina,Jasmina.36@yopmail.com,546.25,36,2.83
126,Dari,Dari.114@yopmail.com,397.22,114,5.22
127,Leeanne,Leeanne.23@yopmail.com,348.05,23,5.26
128,Arlena,Arlena.138@yopmail.com,24.63,138,4.82
129,Mariann,Mariann.48@yopmail.com,625.58,48,4.08
130,Kristina,Kristina.112@yopmail.com,248.19,112,5.96
131,Sadie,Sadie.38@yopmail.com,894.4,38,3.09
132,Chloris,Chloris.55@yopmail.com,163.66,55,4.11
133,Damaris,Damaris.150@yopmail.com,597.69,150,5.8
134,Caryl,Caryl.5@yopmail.com,703.47,5,2.01
135,Marcy,Marcy.48@yopmail.com,759.14,48,5.46
136,Justinn,Justinn.102@yopmail.com,435.79,102,5.19
137,Gusty,Gusty.37@yopmail.com,307.62,37,3.27
138,Elie,Elie.190@yopmail.com,766.45,190,1.72
139,Jenda,Jenda.52@yopmail.com,464.59,52,5.86
140,Lolita,Lolita.12@yopmail.com,319.06,12,1.93
141,Roxane,Roxane.169@yopmail.com,880.9,169,1.03
142,Harmonia,Harmonia.103@yopmail.com,47.45,103,2.39
143,Noelle,Noelle.129@yopmail.com,808.3,129,2.83
144,Heida,Heida.112@yopmail.com,835.89,112,2.54
145,Lilith,Lilith.178@yopmail.com,124.75,178,3.54
146,Rhea,Rhea.164@yopmail.com,210.88,164,4.52
147,Ileana,Ileana.6@yopmail.com,165.64,6,3.59
148,Olivette,Olivette.162@yopmail.com,450.18,162,4.17
149,Gisela,Gisela.122@yopmail.com,831.76,122,5.55
150,Lorenza,Lorenza.29@yopmail.com,76.6,29,2.64
151,Dorothy,Dorothy.144@yopmail.com,238.18,144,2.51
152,Lorne,Lorne.140@yopmail.com,618.1,140,3.19
153,Petronia,Petronia.196@yopmail.com,642.2,196,4.7
154,Grier,Grier.162@yopmail.com,77.99,162,5.84
155,Sibella,Sibella.120@yopmail.com,271.96,120,5.89
156,Tabbatha,Tabbatha.153@yopmail.com,867.55,153,1.78
157,Catrina,Catrina.141@yopmail.com,351.07,141,1.37
158,Rubie,Rubie.191@yopmail.com,614.27,191,2.53
159,Caritta,Caritta.130@yopmail.com,180.25,130,3.52
160,Queenie,Queenie.104@yopmail.com,936.95,104,3.44
161,Fred,Fred.164@yopmail.com,713.56,164,4.49
162,Carmela,Carmela.78@yopmail.com,346.16,78,2.05
163,Valera,Valera.33@yopmail.com,198.5,33,1.04
164,Phylis,Phylis.27@yopmail.com,763.08,27,4.51
165,Josephine,Josephine.59@yopmail.com,713.73,59,2.4
166,Ayn,Ayn.80@yopmail.com,500.93,80,2.9
167,Lusa,Lusa.91@yopmail.com,436.82,91,1.98
168,Heddie,Heddie.46@yopmail.com,425.64,46,1.47
169,Sadie,Sadie.12@yopmail.com,311.45,12,4.81
170,Tamqrah,Tamqrah.162@yopmail.com,334.15,162,3.05
171,Kirstin,Kirstin.17@yopmail.com,320.53,17,4.53
172,Jolyn,Jolyn.139@yopmail.com,106.84,139,4.7
173,Cathie,Cathie.54@yopmail.com,664.14,54,5.45
174,Britni,Britni.74@yopmail.com,27.91,74,2.45
175,Babita,Babita.11@yopmail.com,185.72,11,5.71
176,Jsandye,Jsandye.27@yopmail.com,198.64,27,1.12
177,Keelia,Keelia.155@yopmail.com,286.43,155,1.41
178,Madeleine,Madeleine.146@yopmail.com,210.57,146,4.46
179,Liana,Liana.170@yopmail.com,535.48,170,1.73
180,Chastity,Chastity.112@yopmail.com,519.14,112,3.38
181,Almeta,Almeta.68@yopmail.com,825.9,68,2.34
182,Hermione,Hermione.165@yopmail.com,535.91,165,4.48
183,Marika,Marika.185@yopmail.com,848.61,185,5.7
184,Jenda,Jenda.35@yopmail.com,770.98,35,2.75
185,Madeleine,Madeleine.100@yopmail.com,245.11,100,4.47
186,Joelly,Joelly.127@yopmail.com,818.43,127,4.65
187,Nananne,Nananne.49@yopmail.com,563.57,49,2.71
188,Jenilee,Jenilee.87@yopmail.com,426.75,87,4.92
189,Jillayne,Jillayne.65@yopmail.com,292.25,65,3.05
190,Madeleine,Madeleine.103@yopmail.com,232.74,103,1.4
191,Trixi,Trixi.163@yopmail.com,296.15,163,1.74
192,Latisha,Latisha.142@yopmail.com,373.79,142,4.01
193,Phedra,Phedra.14@yopmail.com,683.34,14,2.12
194,Alie,Alie.45@yopmail.com,968.31,45,2.35
195,Alisha,Alisha.72@yopmail.com,775.98,72,3.51
196,Fawne,Fawne.177@yopmail.com,770.65,177,3.54
197,Valli,Valli.66@yopmail.com,479.79,66,5.94
198,Alejandra,Alejandra.55@yopmail.com,307.62,55,2.27
199,Tina,Tina.@yopmail.com,261.58,0,5.54
200,Caritta,Caritta.190@yopmail.com,790.26,190,4.16
201,Amalie,Amalie.12@yopmail.com,455.29,12,1.14
202,Tabbatha,Tabbatha.117@yopmail.com,917.9,117,3.57
203,Jean,Jean.89@yopmail.com,377.24,89,4.3
204,Paola,Paola.53@yopmail.com,730.16,53,5.44
205,Amara,Amara.42@yopmail.com,686.78,42,4.2
206,Nessie,Nessie.187@yopmail.com,597.79,187,2.43
207,Claresta,Claresta.17@yopmail.com,239.98,17,4.81
208,Marsiella,Marsiella.11@yopmail.com,31.94,11,5.33
209,Kellen,Kellen.173@yopmail.com,658.61,173,5.85
210,Krystle,Krystle.71@yopmail.com,207.29,71,4.74
211,Arlina,Arlina.4@yopmail.com,261.43,4,3.31
212,Norine,Norine.88@yopmail.com,409.57,88,4.23
213,Mady,Mady.42@yopmail.com,101.33,42,2.23
214,Valli,Valli.107@yopmail.com,755.81,107,5.76
215,Ernesta,Ernesta.40@yopmail.com,655.7,40,5.07
216,Lucy,Lucy.51@yopmail.com,665.64,51,5.3
217,Willetta,Willetta.38@yopmail.com,511.02,38,1.57
218,Eve,Eve.89@yopmail.com,545.86,89,3.52
219,Dotty,Dotty.58@yopmail.com,472.33,58,1.75
220,Christy,Christy.170@yopmail.com,20.55,170,5.86
221,Roberta,Roberta.57@yopmail.com,914.28,57,4.96
222,Amii,Amii.80@yopmail.com,794.35,80,5.35
223,Andree,Andree.176@yopmail.com,999.04,176,4.15
224,Arlena,Arlena.109@yopmail.com,110.29,109,1.1
225,Kimberley,Kimberley.166@yopmail.com,450.25,166,1.12
226,Cam,Cam.88@yopmail.com,473.28,88,5.68
227,Mariele,Mariele.26@yopmail.com,926.65,26,5.23
228,Christy,Christy.81@yopmail.com,946.37,81,3.21
229,Tomasina,Tomasina.185@yopmail.com,831.24,185,3.1
230,Tybie,Tybie.189@yopmail.com,363.87,189,1.15
231,Daune,Daune.26@yopmail.com,654.99,26,4.44
232,Karlee,Karlee.85@yopmail.com,71.21,85,2.59
233,Aili,Aili.165@yopmail.com,418.62,165,1.68
234,Ellette,Ellette.17@yopmail.com,398.72,17,1.12
235,Aigneis,Aigneis.5@yopmail.com,625.08,5,1.32
236,Alia,Alia.148@yopmail.com,803.81,148,2.05
237,Sean,Sean.31@yopmail.com,847.5,31,3.68
238,Ayn,Ayn.196@yopmail.com,954.27,196,5.45
239,Starla,Starla.48@yopmail.com,964,48,4
240,Tatiania,Tatiania.135@yopmail.com,583.48,135,5.2
241,Talya,Talya.30@yopmail.com,622.33,30,1.12
242,Elora,Elora.89@yopmail.com,13.95,89,2.97
243,Christal,Christal.27@yopmail.com,982.54,27,2.32
244,Cathyleen,Cathyleen.92@yopmail.com,401.01,92,5.82
245,Tatiania,Tatiania.76@yopmail.com,677.21,76,2.33
246,Tamqrah,Tamqrah.38@yopmail.com,564.75,38,1.52
247,Brynna,Brynna.16@yopmail.com,83.46,16,5.94
248,Kamilah,Kamilah.142@yopmail.com,602.44,142,4.67
249,Asia,Asia.186@yopmail.com,258.52,186,4.93
250,Elora,Elora.144@yopmail.com,95.05,144,3.93
251,Celene,Celene.70@yopmail.com,569.15,70,5.46
252,Kittie,Kittie.118@yopmail.com,722.7,118,1.26
253,Kayla,Kayla.39@yopmail.com,69.79,39,5.7
254,Wanda,Wanda.99@yopmail.com,173.41,99,4.84
255,Taffy,Taffy.51@yopmail.com,382.92,51,4.22
256,Leontine,Leontine.173@yopmail.com,196.18,173,1.71
257,Deane,Deane.28@yopmail.com,641.65,28,1.76
258,Dawn,Dawn.10@yopmail.com,223.46,10,2.07
259,Marcy,Marcy.154@yopmail.com,433.55,154,4.2
260,Dominga,Dominga.80@yopmail.com,283.02,80,2.1
261,Ethel,Ethel.121@yopmail.com,164.41,121,2.62
262,Celisse,Celisse.84@yopmail.com,255.74,84,5.66
263,Farrah,Farrah.90@yopmail.com,602.44,90,4.75
264,Flory,Flory.63@yopmail.com,811.3,63,3.32
265,Gerianna,Gerianna.81@yopmail.com,610.13,81,2.07
266,Ira,Ira.83@yopmail.com,208.8,83,1.92
267,Leontine,Leontine.44@yopmail.com,446.27,44,1.61
268,Pollyanna,Pollyanna.196@yopmail.com,915.23,196,4.33
269,Tressa,Tressa.50@yopmail.com,327.94,50,3.86
270,Karolina,Karolina.133@yopmail.com,462.27,133,4.1
271,Hayley,Hayley.6@yopmail.com,900.74,6,5.31
272,Clo,Clo.19@yopmail.com,925.84,19,3.68
273,Di,Di.29@yopmail.com,996.26,29,3.31
274,Donnie,Donnie.99@yopmail.com,672.22,99,4.89
275,Mildrid,Mildrid.168@yopmail.com,361.13,168,3.69
276,Dorthy,Dorthy.57@yopmail.com,989.98,57,5.68
277,Tracey,Tracey.185@yopmail.com,375.71,185,4.29
278,Rosanne,Rosanne.105@yopmail.com,697.56,105,5.02
279,Anallese,Anallese.9@yopmail.com,106.19,9,3.08
280,Anestassia,Anestassia.46@yopmail.com,307.35,46,3.45
281,Damaris,Damaris.73@yopmail.com,354.32,73,1.27
282,Evaleen,Evaleen.163@yopmail.com,105.25,163,1.92
283,Dennie,Dennie.194@yopmail.com,550.93,194,3.88
284,Alyssa,Alyssa.23@yopmail.com,33.72,23,1.1
285,Larine,Larine.57@yopmail.com,963.59,57,4.6
286,Almeta,Almeta.147@yopmail.com,577.05,147,2.15
287,Tarra,Tarra.169@yopmail.com,378.49,169,5.65
288,Kirstin,Kirstin.199@yopmail.com,344.53,199,5.27
289,Luci,Luci.34@yopmail.com,947.21,34,4.59
290,Belinda,Belinda.56@yopmail.com,320.98,56,1.14
291,Georgetta,Georgetta.192@yopmail.com,393.71,192,2.99
292,Silvana,Silvana.186@yopmail.com,717.06,186,4.13
293,Lynnea,Lynnea.93@yopmail.com,686.33,93,2.98
294,Merry,Merry.63@yopmail.com,400.08,63,4.71
295,Fanny,Fanny.116@yopmail.com,107.83,116,4.02
296,Ana,Ana.162@yopmail.com,815.2,162,4.65
297,Cacilie,Cacilie.163@yopmail.com,127.84,163,2.98
298,Siana,Siana.130@yopmail.com,589.28,130,1.85
299,Georgetta,Georgetta.112@yopmail.com,556.16,112,1.62
300,Tami,Tami.129@yopmail.com,659.42,129,3.06
301,Elfreda,Elfreda.58@yopmail.com,602.55,58,1.37
302,Fawne,Fawne.61@yopmail.com,606.78,61,1.95
303,Annecorinne,Annecorinne.111@yopmail.com,619.07,111,3.12
304,Kayla,Kayla.135@yopmail.com,675.31,135,2.91
305,Tiffie,Tiffie.151@yopmail.com,436.23,151,3.34
306,Raquela,Raquela.5@yopmail.com,766,5,1.05
307,Taffy,Taffy.162@yopmail.com,90.02,162,4.25
308,Leeanne,Leeanne.131@yopmail.com,55.33,131,2.69
309,Vevay,Vevay.48@yopmail.com,946.07,48,3.92
310,Lila,Lila.180@yopmail.com,951.51,180,1.78
311,Lizzie,Lizzie.3@yopmail.com,426.3,3,2.17
312,Ellette,Ellette.26@yopmail.com,874.57,26,2.26
313,Cristabel,Cristabel.175@yopmail.com,499.29,175,4.34
314,Micheline,Micheline.114@yopmail.com,415.97,114,5.01
315,Dotty,Dotty.70@yopmail.com,778.81,70,5.08
316,Fayre,Fayre.182@yopmail.com,394.63,182,2.92
317,Ketti,Ketti.62@yopmail.com,39.06,62,2.83
318,Ronna,Ronna.178@yopmail.com,156.67,178,1.33
319,Shel,Shel.148@yopmail.com,844.67,148,5.45
320,Penelopa,Penelopa.30@yopmail.com,898.47,30,1.17
321,Patricia,Patricia.76@yopmail.com,854.61,76,1.73
322,Dode,Dode.53@yopmail.com,356.72,53,2.43
323,Mildrid,Mildrid.171@yopmail.com,732,171,2.8
324,Corene,Corene.197@yopmail.com,258.31,197,4.5
325,Frieda,Frieda.3@yopmail.com,951.21,3,5.51
326,Ethel,Ethel.45@yopmail.com,360.48,45,5.41
327,Rochette,Rochette.54@yopmail.com,752.43,54,1.93
328,Jorry,Jorry.65@yopmail.com,663.96,65,2.39
329,Beverley,Beverley.146@yopmail.com,628.67,146,4.27
330,Nita,Nita.16@yopmail.com,479.76,16,4.86
331,Mathilda,Mathilda.176@yopmail.com,349.65,176,2.91
332,Raquela,Raquela.53@yopmail.com,550.54,53,3.46
333,Shell,Shell.107@yopmail.com,630.63,107,3.47
334,Madalyn,Madalyn.164@yopmail.com,613.19,164,3.98
335,Marylou,Marylou.194@yopmail.com,562.04,194,1.33
336,Donetta,Donetta.138@yopmail.com,804.63,138,2.13
337,Mamie,Mamie.42@yopmail.com,314.57,42,5.91
338,Cassandra,Cassandra.98@yopmail.com,940.15,98,2.36
339,Merry,Merry.16@yopmail.com,348.13,16,1.52
340,Roz,Roz.57@yopmail.com,973.02,57,2.97
341,Marleah,Marleah.42@yopmail.com,754.71,42,4.95
342,Perry,Perry.146@yopmail.com,814.51,146,3.26
343,Gertrud,Gertrud.79@yopmail.com,838.07,79,3.01
344,Fina,Fina.177@yopmail.com,181.81,177,2.25
345,Mary,Mary.103@yopmail.com,626.15,103,2.59
346,Jessy,Jessy.44@yopmail.com,891.59,44,2.97
347,Carmencita,Carmencita.18@yopmail.com,574.67,18,4.39
348,Jacenta,Jacenta.140@yopmail.com,485.83,140,1.23
349,Dari,Dari.25@yopmail.com,164.03,25,2.9
350,Jsandye,Jsandye.66@yopmail.com,889.94,66,5.64
351,Anthia,Anthia.65@yopmail.com,665.25,65,2.49
352,Mellicent,Mellicent.141@yopmail.com,543.73,141,2.37
353,Grier,Grier.106@yopmail.com,976.74,106,3.05
354,Ingrid,Ingrid.97@yopmail.com,668.16,97,5.21
355,Cissiee,Cissiee.30@yopmail.com,105.34,30,5.72
356,Ida,Ida.116@yopmail.com,754.85,116,4.28
357,Dianemarie,Dianemarie.176@yopmail.com,439.9,176,4.09
358,Rosaline,Rosaline.40@yopmail.com,933.18,40,5.54
359,Vonny,Vonny.149@yopmail.com,873.72,149,5.1
360,Gusella,Gusella.140@yopmail.com,466.05,140,4.14
361,Elvira,Elvira.138@yopmail.com,309.01,138,2.12
362,Nanete,Nanete.168@yopmail.com,523.18,168,4.82
363,Ana,Ana.11@yopmail.com,668.91,11,1.74
364,Marsiella,Marsiella.169@yopmail.com,323.61,169,2.77
365,Betta,Betta.23@yopmail.com,267.24,23,2.71
366,Jany,Jany.181@yopmail.com,426.86,181,5.71
367,Ida,Ida.2@yopmail.com,694.34,2,1.36
368,Stacey,Stacey.94@yopmail.com,909.29,94,4.68
369,Doro,Doro.69@yopmail.com,554.69,69,2.39
370,Jacenta,Jacenta.48@yopmail.com,154.74,48,2.27
371,Barbara,Barbara.109@yopmail.com,283.17,109,2.09
372,Madelle,Madelle.151@yopmail.com,7.73,151,5.09
373,Marjie,Marjie.3@yopmail.com,338.22,3,4
374,Merci,Merci.16@yopmail.com,7.1,16,2.24
375,Lanae,Lanae.191@yopmail.com,528.48,191,1.52
376,Codie,Codie.130@yopmail.com,331.71,130,2.16
377,Gianina,Gianina.174@yopmail.com,741.11,174,3.46
378,Lucy,Lucy.193@yopmail.com,553.89,193,2.66
379,Carmencita,Carmencita.79@yopmail.com,931.76,79,2.42
380,Louella,Louella.168@yopmail.com,131.92,168,1.72
381,Elie,Elie.98@yopmail.com,223.61,98,4.15
382,Dorothy,Dorothy.27@yopmail.com,217.07,27,4.07
383,Gale,Gale.60@yopmail.com,292.4,60,3.86
384,Kelly,Kelly.63@yopmail.com,540.07,63,5.54
385,Georgina,Georgina.124@yopmail.com,955.92,124,3.57
386,Renae,Renae.126@yopmail.com,748.22,126,5.68
387,Florie,Florie.114@yopmail.com,434.99,114,1.87
388,Lila,Lila.9@yopmail.com,805.5,9,1.8
389,Celestyna,Celestyna.14@yopmail.com,663.87,14,1.66
390,Lily,Lily.101@yopmail.com,797.39,101,3.97
391,Teriann,Teriann.121@yopmail.com,217.45,121,5.29
392,Giustina,Giustina.167@yopmail.com,188.93,167,4.74
393,Shirlee,Shirlee.103@yopmail.com,238.13,103,1.18
394,Leeanne,Leeanne.19@yopmail.com,615.96,19,3.81
395,Larine,Larine.133@yopmail.com,211.11,133,3.71
396,Amalie,Amalie.106@yopmail.com,377.54,106,2.12
397,Priscilla,Priscilla.175@yopmail.com,364.11,175,2.06
398,Alexine,Alexine.53@yopmail.com,846.33,53,4.78
399,Adriana,Adriana.118@yopmail.com,522.24,118,3.43
400,June,June.78@yopmail.com,972.11,78,1.45
401,Cherrita,Cherrita.94@yopmail.com,852.71,94,3.34
402,Anthia,Anthia.39@yopmail.com,74.97,39,5.66
403,Merle,Merle.175@yopmail.com,382.17,175,5.26
404,Mamie,Mamie.188@yopmail.com,860.87,188,4.56
405,Eadie,Eadie.151@yopmail.com,509.58,151,4.37
406,Jenilee,Jenilee.188@yopmail.com,830.96,188,2.73
407,Gusella,Gusella.2@yopmail.com,164.18,2,1.6
408,Gale,Gale.167@yopmail.com,22.15,167,4.01
409,Betta,Betta.14@yopmail.com,909.4,14,3.42
410,Basia,Basia.85@yopmail.com,819.82,85,2.9
411,Sheelagh,Sheelagh.33@yopmail.com,624.95,33,3.07
412,Kary,Kary.180@yopmail.com,262.4,180,1.3
413,Edyth,Edyth.113@yopmail.com,560.99,113,3.82
414,Nonnah,Nonnah.182@yopmail.com,193.29,182,4.04
415,Anestassia,Anestassia.78@yopmail.com,802.82,78,4.79
416,Emelina,Emelina.88@yopmail.com,63.04,88,2.95
417,Bobinette,Bobinette.13@yopmail.com,881.58,13,5.35
418,Daphne,Daphne.152@yopmail.com,293.28,152,2.55
419,Amara,Amara.14@yopmail.com,69.02,14,2.13
420,Eugine,Eugine.25@yopmail.com,98.81,25,3.22
421,Carlie,Carlie.51@yopmail.com,894.49,51,3.92
422,Wilma,Wilma.9@yopmail.com,717.6,9,4.59
423,Ricky,Ricky.187@yopmail.com,658.51,187,4.84
424,Vivia,Vivia.183@yopmail.com,697.58,183,1.62
425,Tori,Tori.33@yopmail.com,137.46,33,3.55
426,Meriel,Meriel.136@yopmail.com,895.83,136,2.79
427,Collen,Collen.144@yopmail.com,352.65,144,5.42
428,Siana,Siana.165@yopmail.com,891.87,165,1.92
429,Carlie,Carlie.113@yopmail.com,527.28,113,5.8
430,Deedee,Deedee.74@yopmail.com,357.35,74,4.93
431,Darci,Darci.134@yopmail.com,489.09,134,5.66
432,Edee,Edee.53@yopmail.com,144.94,53,4.72
433,Fanchon,Fanchon.39@yopmail.com,167.95,39,1.88
434,Ashlee,Ashlee.103@yopmail.com,107.42,103,2.15
435,Phedra,Phedra.29@yopmail.com,103.41,29,3.94
436,Libbie,Libbie.80@yopmail.com,829.9,80,4.86
437,Vita,Vita.76@yopmail.com,121.96,76,2.79
438,Nyssa,Nyssa.177@yopmail.com,210.68,177,3.11
439,Roslyn,Roslyn.50@yopmail.com,783.25,50,5.59
440,Audrie,Audrie.@yopmail.com,738.43,0,1.8
441,Aili,Aili.38@yopmail.com,902.55,38,5.83
442,Vonny,Vonny.34@yopmail.com,491.37,34,1.94
443,Dotty,Dotty.163@yopmail.com,894.01,163,3.75
444,Tierney,Tierney.64@yopmail.com,98.45,64,4.19
445,Robinia,Robinia.31@yopmail.com,274.01,31,2.56
446,Shauna,Shauna.102@yopmail.com,20.81,102,3.46
447,Danny,Danny.80@yopmail.com,408.31,80,5.6
448,Lauryn,Lauryn.81@yopmail.com,362.25,81,2.61
449,Karolina,Karolina.108@yopmail.com,278.13,108,4.02
450,Laure,Laure.110@yopmail.com,88.56,110,5.1
451,Wynne,Wynne.132@yopmail.com,618.36,132,4.88
